timestamp,hop,ip,hostname,asn,rtt
1684843514,1,131.159.14.129,ac.scylla.net.in.tum.de,209335,0.3769397735595703
1684843514,2,131.159.252.148,nz-bb2-net.in.tum.de,209335,0.48089027404785156
1684843514,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,1.3175010681152344
1684843514,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,2.965211868286133
1684843514,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,9.777307510375977
1684843514,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075,9.813547134399414
1684843514,7,104.44.230.16,ae22-0.icr01.fra23.ntwk.msn.net,8075,10.809183120727539
1684843514,8,*,*,*,*
1684843514,9,104.44.30.48,be-3-0.ibr02.zrh21.ntwk.msn.net,8075,243.29590797424316
1684843514,10,104.44.30.123,be-9-0.ibr02.gva20.ntwk.msn.net,8075,253.48424911499023
1684843514,11,104.44.29.58,be-7-0.ibr02.mrs21.ntwk.msn.net,8075,256.32405281066895
1684843514,12,104.44.28.173,be-23-0.ibr02.mrs20.ntwk.msn.net,8075,254.83345985412598
1684843514,13,*,*,*,*
1684843514,14,104.44.29.229,be-3-0.ibr02.bom30.ntwk.msn.net,8075,254.59909439086914
1684843514,15,104.44.19.149,be-1-0.ibr02.per01.ntwk.msn.net,8075,250.96654891967773
1684843514,16,104.44.19.158,be-6-0.ibr02.mel01.ntwk.msn.net,8075,256.3819885253906
1684843514,17,104.44.7.10,be-1-0.ibr02.mel20.ntwk.msn.net,8075,258.11266899108887
1684843514,18,104.44.11.178,ae122-0.icr02.mel20.ntwk.msn.net,8075,243.8511848449707
1684843514,19,*,*,*,*
1684843514,20,*,*,*,*
1684843514,21,*,*,*,*
1684843514,22,*,*,*,*
1684843514,23,*,*,*,*
1684843514,24,*,*,*,*
1684843514,25,*,*,*,*
1684843514,26,*,*,*,*
1684843514,27,*,*,*,*
1684843514,28,*,*,*,*
1684843514,29,*,*,*,*
