timestamp,hop,ip,hostname,asn,rtt
1684845471,1,192.168.1.1,???,,0.57220458984375
1684845471,2,100.64.0.1,???,,35.511016845703125
1684845471,3,172.16.251.90,???,,35.69746017456055
1684845471,4,206.224.65.204,undefined.hostname.localhost,14593,26.51071548461914
1684845471,5,206.224.65.188,undefined.hostname.localhost,14593,27.774333953857422
1684845471,6,80.81.195.11,msft-decix-02-fra.ntwk.msn.net,,32.35483169555664
1684845471,7,104.44.232.129,ae22-0.icr02.fra21.ntwk.msn.net,8075,50.70829391479492
1684845471,8,*,*,*,*
1684845471,9,104.44.28.103,be-14-0.ibr01.ams30.ntwk.msn.net,8075,194.47946548461914
1684845471,10,104.44.31.0,be-15-0.ibr01.lon22.ntwk.msn.net,8075,118.50452423095703
1684845471,11,104.44.18.152,be-10-0.ibr01.nyc30.ntwk.msn.net,8075,121.70028686523438
1684845471,12,104.44.19.194,be-8-0.ibr03.bl20.ntwk.msn.net,8075,159.38901901245117
1684845471,13,104.44.32.41,ae144-0.icr03.bl20.ntwk.msn.net,8075,130.8746337890625
1684845471,14,*,*,*,*
1684845471,15,*,*,*,*
1684845471,16,*,*,*,*
1684845471,17,*,*,*,*
1684845471,18,*,*,*,*
1684845471,19,*,*,*,*
1684845471,20,*,*,*,*
1684845471,21,*,*,*,*
1684845471,22,*,*,*,*
1684845471,23,*,*,*,*
1684845471,24,*,*,*,*
1684845471,25,*,*,*,*
1684845471,26,*,*,*,*
1684845471,27,*,*,*,*
1684845471,28,*,*,*,*
1684845471,29,*,*,*,*
